instance_id,gold_pass,beh_fix_generated,beh_patch_len,beh_diff_size_chars,beh_files_modified,beh_num_turns,beh_total_cost_usd,beh_elapsed_s,beh_tool_count,beh_tool_used,beh_comp_ignore,beh_comp_generate_run,beh_comp_gen_run_iterate,beh_comp_full_pipeline,beh_comp_generate_only,beh_comp_other,beh_adversarial_review_used,beh_revised_after_failure,beh_submitted_despite_failure,beh_v009_verdict,beh_v009_confidence,beh_generate_count,beh_run_count,beh_test_pass_total,beh_test_fail_total,beh_test_error_count,beh_review_score_mean,beh_review_score_max,beh_total_actions,beh_action_pct_edit,beh_action_pct_search,beh_action_pct_bash,beh_first_edit_pct,beh_first_edit_action,beh_loop_count,beh_action_entropy,beh_parkinson_ratio,beh_total_input_tokens,beh_total_output_tokens,beh_total_cache_create_tokens,beh_total_cache_read_tokens,beh_total_thinking_tokens,beh_total_tokens,beh_n_thinking_blocks,beh_token_efficiency_ratio,beh_cache_hit_ratio,beh_token_budget_utilization,beh_tokens_per_edit,beh_thinking_to_output_ratio,beh_context_growth_rate,v009_lc_count,v009_unanimous,v009_verdict_lc,v009_mean_score,v009_std_score,v009_mean_logic,v009_mean_completeness,v009_mean_confidence,v009_min_score,v009_max_score,debate_verdict_correct,debate_verdict_incorrect,debate_verdict_uncertain,debate_score,debate_judge_confidence,debate_advocate_confidence,debate_bugs_found,debate_challenger_broken,debate_advocate_judge_agree,svg_line_recall,svg_accepted,svg_fix_generated,svg_platt_prob,enew1_read_edit_ratio,enew1_edits_without_read_pct,enew1_write_vs_edit_ratio,enew1_n_reads,enew1_n_edits,enew1_n_writes,enew2_recovery_breadth,enew2_retry_without_change_rate,enew2_error_rate_early,enew2_error_rate_late,enew2_total_errors
astropy__astropy-12907,1,1.0,506.0,506.0,1.0,30.0,0.37358145,163.4,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.15,1.0,1.0,0.0,0.0,1.0,0.25,0.25,29.0,0.0344827586206896,0.1379310344827586,0.8275862068965517,0.1724137931034483,5.0,23.0,1.2320872216997276,0.1724137931034483,107.0,5158.0,50740.0,880736.0,422.0,936741.0,3.0,0.0055063245870523,0.9402129297212356,4.683705,936741.0,0.0818146568437378,610.6709590878608,0.0,0.0,0.0,0.3,0.08660254037844385,0.2,0.4,0.775,0.15,0.35,0,1,0,0.12,0.88,0.92,1,1,0,0.0,0,1,0.585889898188194,3.0,0.0,0.0,3,1,0,0.5,0.0,0.25,0.1111111111111111,4
astropy__astropy-14182,0,1.0,803.0,803.0,1.0,31.0,0.42387885,197.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,,,32.0,0.03125,0.15625,0.8125,0.21875,7.0,27.0,1.2511644549200616,0.21875,108.0,5854.0,54544.0,979447.0,527.0,1039953.0,3.0,0.00562910054589,0.9418185244910108,5.199765,1039953.0,0.0900239152716091,784.4642674253203,0.0,0.0,0.0,0.33999999999999997,0.012247448713915879,0.22499999999999998,0.375,0.85,0.32,0.35,0,0,1,0.5,0.45,0.92,3,1,0,0.0,0,1,0.585889898188194,4.0,0.0,0.0,4,1,0,0.5,0.0,0.2222222222222222,0.2,5
astropy__astropy-14365,0,1.0,619.0,619.0,1.0,29.0,0.3285816,155.4,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.69,1.0,1.0,0.0,0.0,1.0,0.71,0.71,28.0,0.0357142857142857,0.25,0.7142857142857143,0.2142857142857142,6.0,20.0,1.7550118241789237,0.2142857142857142,108.0,4098.0,41958.0,858097.0,17.0,904261.0,1.0,0.0045318774114995,0.9489483677831954,4.521305,904261.0,0.0041483650561249,541.9617706237426,2.0,0.0,0.0,0.8200000000000001,0.17131841699011813,0.825,0.775,0.8274999999999999,0.62,0.99,0,1,0,0.21999999999999997,0.78,0.95,2,1,0,0.0,0,1,0.585889898188194,6.0,0.0,0.0,6,1,0,0.5,0.0,0.125,0.1111111111111111,4
astropy__astropy-14995,1,1.0,609.0,609.0,1.0,25.0,0.2876434499999999,118.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45,1.0,1.0,0.0,0.0,1.0,,,24.0,0.0416666666666666,0.125,0.8333333333333334,0.25,6.0,19.0,1.2601423897108557,0.25,104.0,4237.0,39016.0,667453.0,342.0,710810.0,3.0,0.0059608052784851,0.939003390498164,3.55405,710810.0,0.0807174887892376,559.9851625451514,0.0,0.0,0.0,0.45249999999999996,0.040850336595920494,0.42500000000000004,0.325,0.8250000000000001,0.42,0.52,1,0,0,0.72,0.72,0.95,2,1,1,0.0,0,1,0.585889898188194,2.0,0.0,0.0,2,1,0,0.5,0.0,0.2857142857142857,0.125,5
astropy__astropy-6938,1,1.0,576.0,576.0,1.0,14.0,0.1420419,77.4,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.92,1.0,1.0,0.0,0.0,1.0,0.92,0.92,13.0,0.0769230769230769,0.2307692307692307,0.6923076923076923,0.3846153846153846,5.0,8.0,1.9473387961875537,0.3846153846153846,90.0,1814.0,30633.0,356802.0,54.0,389339.0,2.0,0.0046591787619529,0.9164301546980907,1.946695,389339.0,0.0297684674751929,443.8392603129444,4.0,1.0,1.0,0.915,0.0050000000000000044,0.95,0.9125,0.8724999999999999,0.91,0.92,1,0,0,0.88,0.88,0.95,2,1,1,0.0,0,1,0.585889898188194,2.0,0.0,0.0,2,1,0,0.0,0.0,0.3333333333333333,0.0,1
astropy__astropy-7746,0,1.0,1107.0,1107.0,1.0,31.0,0.5215024500000001,243.6,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.35,1.0,1.0,0.0,0.0,1.0,0.385,0.42,30.0,0.0666666666666666,0.2,0.7333333333333333,0.1333333333333333,4.0,21.0,1.8988934941577416,0.1333333333333333,123.0,9712.0,70571.0,1453924.0,2126.0,1534330.0,10.0,0.0063297986743399,0.9475953673590428,7.67165,767165.0,0.2189044481054365,1090.123216728552,0.0,0.0,0.0,0.385,0.029580398915498067,0.2875,0.5750000000000001,0.8875000000000001,0.34,0.42,0,1,0,0.15000000000000002,0.85,0.92,4,1,0,0.0,0,1,0.585889898188194,2.5,0.5,0.0,5,2,0,0.5,0.0,0.3333333333333333,0.2222222222222222,7
django__django-10914,1,1.0,625.0,625.0,1.0,25.0,0.2741735999999999,136.8,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.52,0.52,24.0,0.0416666666666666,0.2916666666666667,0.6666666666666666,0.4166666666666667,10.0,18.0,1.7712589600219495,0.4166666666666667,33.0,3261.0,30062.0,636623.0,315.0,669979.0,2.0,0.0048673167367932,0.9502133648965116,3.349895,669979.0,0.0965961361545538,698.6124488603156,0.0,0.0,0.0,0.4475,0.02947456530637898,0.475,0.375,0.775,0.4,0.48,1,0,0,0.82,0.82,0.92,4,1,1,0.0,0,1,0.585889898188194,6.0,0.0,0.0,6,1,0,0.0,0.0,0.1428571428571428,0.0,1
django__django-10924,1,1.0,561.0,561.0,1.0,23.0,0.25272,119.6,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3,1.0,2.0,0.0,0.0,0.0,0.32,0.32,22.0,0.0454545454545454,0.1818181818181818,0.7727272727272727,0.2727272727272727,6.0,15.0,1.6636046175975006,0.2727272727272727,100.0,4240.0,19519.0,663502.0,597.0,687361.0,4.0,0.0061685198898395,0.9652889820632826,3.436805,687361.0,0.1408018867924528,934.4031630801136,0.0,0.0,0.0,0.33999999999999997,0.012247448713915879,0.5,0.2,0.8675,0.32,0.35,0,1,0,0.050000000000000044,0.95,0.82,3,1,0,0.0,0,1,0.585889898188194,3.0,0.0,0.0,3,1,0,0.0,0.0,0.1666666666666666,0.1428571428571428,2
django__django-11001,1,1.0,543.0,543.0,1.0,10.0,0.1061897999999999,42.6,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,10.0,0.0,0.0,,,9.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.6666666666666666,6.0,4.0,2.5,0.6666666666666666,85.0,1258.0,30538.0,212047.0,22.0,243928.0,1.0,0.0051572595192023,0.8693015971926142,1.21964,243928.0,0.0174880763116057,639.8776068376068,0.0,0.0,0.0,0.1375,0.23815698604072066,0.5,0.4,0.75,0.0,0.55,0,1,0,0.12,0.88,0.0,0,0,0,0.8571,1,1,0.8026511482105197,3.0,0.0,0.0,3,1,0,0.0,0.0,0.5,0.0,1
django__django-11019,0,1.0,6314.0,6314.0,2.0,31.0,1.1216802,504.4,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.35,1.0,2.0,38.0,2.0,0.0,0.55,0.55,31.0,0.1290322580645161,0.2580645161290322,0.6129032258064516,0.2903225806451613,9.0,22.0,2.148394345536403,0.2903225806451613,55.0,34003.0,110948.0,2249678.0,5750.0,2394684.0,8.0,0.0141993682673789,0.9394467077910906,11.97342,598671.0,0.1691027262300385,2505.7321754027853,0.0,0.0,0.0,0.5725,0.12852528934026955,0.48749999999999993,0.6499999999999999,0.7525,0.35,0.65,1,0,0,0.92,0.92,0.92,5,1,1,0.0,0,1,0.585889898188194,1.75,0.0,0.0,7,4,0,0.5,0.0,0.1111111111111111,0.0,2
